GC13JYV;A Cache do Luis;PORTALEGRE;luis74;38.9163;-7.654117;TRADITIONAL;REGULAR;2.5;3;AVAILABLE;2007/06/07;44;2;4;449
GC176C6;[Siglas Poveiras] Senhora da Abadia;BRAGA;emlino;41.675167;-8.258583;TRADITIONAL;SMALL;3;1.5;AVAILABLE;2007/11/04;228;9;0;371
GC12ZEP;Mosteiro de S. Bento  ? Santo Tirso;PORTO;Silvana;41.345367;-8.471267;TRADITIONAL;SMALL;2;1;AVAILABLE;2007/05/16;850;11;4;51
GC152MJ;Caixinha de Musica;LISBOA;nunogil;38.749633;-9.179967;MULTI;SMALL;2;1;AVAILABLE;2007/08/11;391;34;12;-9999999
GC15994;Moinho da Tramaga;PORTALEGRE;TonyMary;39.229283;-8.02755;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/08/19;126;11;7;-9999999
GCMK7A;Linhas de Torres - Forte da Aguieira [V.F.Xira];LISBOA;lamas;38.898567;-9.070383;TRADITIONAL;REGULAR;2;2;AVAILABLE;2005/01/23;381;4;16;239
GC10WZ9;Mamoas de Fulom [Junqueira - Vila do Conde];PORTO;eniel;41.39075;-8.672983;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/02/11;288;4;1;50
GCYP99;Nossa Senhora da Abadia - Bouro Sta Maria, Amares;BRAGA;Jafqa;41.674067;-8.260233;MULTI;REGULAR;2.5;4;AVAILABLE;2006/10/05;125;14;7;-9999999
GCYGZA;Enigma;SETUBAL;NFreitas;38.64025;-9.159583;PUZZLE;NOT_CHOSEN;3.5;1;AVAILABLE;2006/09/25;300;57;28;6
GC16ZJ3;PARQUE DA CIDADE DE PAREDES;PORTO;eterlusitano;41.208733;-8.3252;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2007/10/26;315;83;1;-9999999
GCQCH5;Ecopista Rio Minho (Moncao);VIANA DO CASTELO;cou;42.061867;-8.526083;TRADITIONAL;REGULAR;4;4;AVAILABLE;2005/08/31;176;11;5;17
